epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3253,2.94481,4.52843,2.48214,0,0,0,0,2.69187,4.57724,2.37728,0.00012,0.00012,0.00012
2,51.7487,2.61483,4.21322,2.01435,0.00066,0.02667,0.00042,9e-05,2.40589,4.39341,1.8913,0.00024505,0.00024505,0.00024505
3,75.0992,2.41394,3.66544,1.82116,0.00566,0.17593,0.02709,0.00598,2.21991,4.1743,1.71483,0.000364952,0.000364952,0.000364952
4,98.982,2.42018,3.04861,1.75506,0.00935,0.40704,0.16493,0.0744,2.09219,3.77182,1.63329,0.000479706,0.000479706,0.000479706
5,121.428,2.15259,2.73914,1.65715,0.78724,0.09402,0.21688,0.11262,2.08942,3.22152,1.60527,0.000589312,0.000589312,0.000589312
6,144.39,2.13458,2.50929,1.59203,0.4539,0.2405,0.27351,0.13337,2.15031,2.94719,1.68534,0.00069377,0.00069377,0.00069377
7,167.1,2.13329,2.3695,1.57448,0.23757,0.27434,0.27816,0.14093,2.20929,2.84512,1.85863,0.00079308,0.00079308,0.00079308
8,187.795,2.12288,2.29573,1.56936,0.3687,0.27663,0.29178,0.1521,2.1742,2.6781,1.83751,0.0008614,0.0008614,0.0008614
9,210.218,2.09204,2.22422,1.57026,0.34909,0.34117,0.31974,0.17203,2.19243,2.47864,1.8171,0.0008416,0.0008416,0.0008416
10,233.537,1.94407,2.13098,1.55351,0.2799,0.42749,0.32777,0.17904,2.15504,2.5778,1.80938,0.0008218,0.0008218,0.0008218
11,256.978,1.96718,2.13755,1.55193,0.30595,0.44247,0.31463,0.16183,2.22613,2.83189,1.92574,0.000802,0.000802,0.000802
12,277.946,1.98318,2.02952,1.55833,0.32928,0.46754,0.31709,0.17094,2.17351,2.86808,1.8948,0.0007822,0.0007822,0.0007822
13,300.23,1.93876,2.00107,1.50453,0.37238,0.418,0.34216,0.18149,2.09314,2.45772,1.77805,0.0007624,0.0007624,0.0007624
14,322.638,1.84819,1.92898,1.45329,0.43181,0.38322,0.37286,0.20962,2.0155,2.24038,1.66546,0.0007426,0.0007426,0.0007426
15,345.518,1.82998,1.96967,1.52147,0.4668,0.36147,0.37662,0.21082,2.01287,2.38314,1.6877,0.0007228,0.0007228,0.0007228
16,372.493,1.76692,1.87062,1.44617,0.49607,0.37582,0.37154,0.21508,2.00976,2.39565,1.6664,0.000703,0.000703,0.000703
17,398.723,1.78457,1.88552,1.42588,0.47992,0.37649,0.37465,0.20912,2.04822,2.34343,1.68335,0.0006832,0.0006832,0.0006832
18,421.691,1.7123,1.81127,1.38503,0.51723,0.36041,0.38485,0.21987,2.0116,2.26997,1.65531,0.0006634,0.0006634,0.0006634
19,443.757,1.75052,1.80924,1.41087,0.40931,0.4254,0.39949,0.23094,1.95876,2.11795,1.62831,0.0006436,0.0006436,0.0006436
20,472.584,1.70531,1.80449,1.37108,0.42514,0.45758,0.41195,0.22094,2.02517,2.10459,1.64758,0.0006238,0.0006238,0.0006238
21,495.311,1.68466,1.72154,1.36106,0.4433,0.47466,0.42965,0.23079,2.0027,2.07251,1.63009,0.000604,0.000604,0.000604
22,519.946,1.7919,1.80991,1.45686,0.4188,0.47175,0.42212,0.22403,1.98636,2.04947,1.65275,0.0005842,0.0005842,0.0005842
23,545.52,1.70285,1.7382,1.39656,0.47877,0.48748,0.44633,0.24432,1.99857,2.04581,1.64129,0.0005644,0.0005644,0.0005644
