epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1886,2.79376,4.57793,2.51193,0.00026,0.01333,0.00026,3e-05,2.52824,4.64384,2.39267,0.00012,0.00012,0.00012
2,50.6108,2.21613,4.52074,1.88642,0.00241,0.08667,0.00333,0.00047,2.273,4.48544,2.01289,0.000248762,0.000248762,0.000248762
3,74.103,2.34649,3.70351,1.85735,0.00682,0.29593,0.0342,0.01181,2.13322,4.14255,1.79987,0.000376238,0.000376238,0.000376238
4,98.0129,2.26391,3.02836,1.77889,0.0073,0.42296,0.15779,0.07377,2.13688,3.77015,1.8756,0.000502426,0.000502426,0.000502426
5,120.382,2.20042,2.71088,1.69602,0.37851,0.15263,0.23653,0.12711,2.00307,3.16675,1.75098,0.000627328,0.000627328,0.000627328
6,142.817,2.05239,2.48122,1.6442,0.38589,0.30716,0.32362,0.17936,1.95676,2.73677,1.74155,0.000750943,0.000750943,0.000750943
7,165.591,2.1212,2.47697,1.70401,0.31922,0.38988,0.31377,0.15559,2.09883,2.71056,1.87152,0.00087327,0.00087327,0.00087327
8,187.639,2.05242,2.36749,1.6404,0.29012,0.40731,0.29493,0.14694,2.12143,2.94711,1.88539,0.00096535,0.00096535,0.00096535
9,211.836,2.01796,2.25436,1.62836,0.39834,0.3627,0.32316,0.15866,2.13584,2.89216,1.95614,0.0009604,0.0009604,0.0009604
10,234.081,1.97708,2.33325,1.62837,0.36519,0.42225,0.33623,0.17694,2.07253,2.80767,1.86931,0.00095545,0.00095545,0.00095545
11,258.188,1.96758,2.2836,1.61457,0.37111,0.42405,0.36222,0.19714,1.91917,2.46618,1.72963,0.0009505,0.0009505,0.0009505
12,280.842,1.9179,2.16262,1.64636,0.36493,0.42282,0.3569,0.19179,2.01219,2.43221,1.78538,0.00094555,0.00094555,0.00094555
13,304.291,1.87376,2.08145,1.61514,0.49509,0.27234,0.32262,0.19362,2.0294,2.61047,1.82258,0.0009406,0.0009406,0.0009406
14,328.561,1.82264,2.10807,1.61331,0.45037,0.36165,0.37957,0.20995,1.9615,2.47705,1.80089,0.00093565,0.00093565,0.00093565
15,350.816,1.81989,2.01635,1.56193,0.34307,0.45632,0.3407,0.19032,2.03521,2.48595,1.90437,0.0009307,0.0009307,0.0009307
16,373.049,1.80056,1.97681,1.54045,0.37433,0.45245,0.36968,0.19918,2.00483,2.49147,1.86791,0.00092575,0.00092575,0.00092575
17,396.285,1.72896,1.96265,1.50399,0.476,0.42406,0.38081,0.20703,2.06144,2.40661,1.88927,0.0009208,0.0009208,0.0009208
18,418.344,1.78543,2.04783,1.53124,0.45494,0.44665,0.37906,0.19078,2.06336,2.52098,1.89012,0.00091585,0.00091585,0.00091585
19,440.874,1.70686,1.84467,1.44494,0.40022,0.41148,0.38305,0.20714,2.04048,2.41407,1.81653,0.0009109,0.0009109,0.0009109
20,462.946,1.63172,1.84944,1.46483,0.43085,0.43371,0.39282,0.21713,2.05569,2.44827,1.85327,0.00090595,0.00090595,0.00090595
21,485.1,1.72769,1.8633,1.55948,0.45831,0.4202,0.39735,0.22003,2.03573,2.45592,1.81797,0.000901,0.000901,0.000901
22,507.734,1.60601,1.83064,1.45981,0.48581,0.4392,0.41358,0.23894,1.94875,2.39221,1.76447,0.00089605,0.00089605,0.00089605
